id,category,name,description
H001,武略|奇,舟中敵国,毎ターン行動前、50%の確率で離反を6％獲得
H002,武略|奇,当意即妙,通常攻撃後、50%の確率で自身の兵力を回復(回復率60%、同ターン中2回目以降は発動確率半減)
H003,武略|奇,冷静沈着,行動終了後、自身が封撃状態の場合、80%の確率で封撃耐性を獲得(1ターン持続)
H004,武略|奇,智勇兼備,毎ターン行動前、75%の確率で知略を増加(武勇の8％分、1回限り)
H005,武略|奇,表裏一体,毎ターン行動前に、自身に10%の確率(知略依存)で連撃付与
H006,武略|奇,兵勢連鎖,突撃戦法の与ダメージが5%上昇。突撃戦法が発動するたびに、その与ダメージが次回からさらに5％上昇(このダメージ上昇効果は最大4回発動可能)
H011,武略|正,剛力,通常攻撃の与ダメージを3％→6%上昇
H012,武略|正,豪勇,2%→4％の会心を獲得
H013,武略|正,妙策,2%→4％の奇策を獲得(知略依存)
H014,武略|正,突貫,会心ダメージ率を2.5%→5％増加
H015,武略|正,奇謀,奇策ダメージ率を2.5%→5％増加
H016,武略|正,活路,突撃戦法の発動確率を1％→2%増加、突撃戦法による与ダメージを2%→4％低下
H017,武略|正,胆力,突撃戦法発動後、自身の被ダメージを3%→6%低下(1ターン持続)
H018,武略|正,警戒,突撃戦法を発動しなかった場合、行動終了後に自身の与ダメージを3％→6%上昇または被ダメージを3％→6%低下(1ターン持続)
H101,機略|奇,臨機応変,準備が必要な能動戦法発動時、40%の確率で先攻状態付与(1ターン持続)
H102,機略|奇,七転八起,準備が必要な固有能動戦法の発動失敗時、次回発動で70%の確率で準備1ターン短縮
H103,機略|奇,離間の計,能動戦法発動後、1％の離反・心攻効果を付与(最大5回まで重ねがけ可能)
H104,機略|奇,軍律擾乱,制御状態を付与した後、60%の確率で対象の統率・知略を8％低下(2ターン持続)
H105,機略|奇,詭計百出,自身が付与した継続ダメージを18%上昇する
H106,機略|奇,破陣の勢い,兵力が最も高い敵軍単体への与ダメージを6%上昇
H111,機略|正,神算,能動戦法の与ダメージが1.25%→2.5%上昇
H112,機略|正,鬼気,与ダメージを1％→2％上昇
H113,機略|正,大勇,準備が必要な能動戦法の与ダメージを1.5%→3％上昇
H114,機略|正,早駆,初ターン時の自身の速度を20→40増加
H115,機略|正,神秘,毎ターン行動時に自身の兵刃または計略被ダメージを3％→6%低下(1ターン持続)
H116,機略|正,錬磨,能動戦法を発動しなかった場合、行動終了後に自身の与ダメージを2.5%→5％上昇または被ダメージを2.5%→5%低下(1ターン持続)
H117,機略|正,強靭,5ターン目に、兵力が50%を超えている場合、自身の与ダメージを2%→4％上昇。兵力が50%以下の場合は被ダメージを2%→4％低下
H118,機略|正,多謀,計略与ダメージを1％→2%上昇(知略依存)
H201,陣立|奇,先陣誘導,3ターン目終了まで、自身を通常攻撃を受ける確率が増加
H202,陣立|奇,返り討ちの計,制御状態を付与された際、90%の確率で敵軍単体にダメージ(ダメージ率100%、武勇・知略の高い方に応じて兵刃または計略ダメージとなる。各戦闘につき3回まで発動可能)
H203,陣立|奇,気勢崩し,通常攻撃を受けた際、50%の確率で攻撃者の武勇と知略を12減少(1ターン持続)
H204,陣立|奇,陽動の策,4ターン目以降、自身が戦法攻撃の対象となる確率を増加
H205,陣立|奇,生々流転,行動開始時、40%の確率で兵力を回復(回復率50%)
H206,陣立|奇,勇猛果敢,謀略による被ダメージを8％減少(武勇依存)
H207,陣立|奇,右往左往,制御状態を付与する際、対象の与ダメージを8％低下(2ターン持続)
H211,陣立|正,俊才,兵刃による被ダメージを1％→2%低下
H212,陣立|正,才気,計略による被ダメージを1.8％→3.6%低下
H213,陣立|正,逆境,通常攻撃および突撃戦法による被ダメージを3％→6%低下
H214,陣立|正,不敵,能動戦法による被ダメージを3.5%→7％低下
H215,陣立|正,兵心,指揮戦法および受動戦法による被ダメージを3.5%→7％低下
H216,陣立|正,慧眼,自身が大将の場合、3ターン目終了まで、回避を2.5%→5％獲得
H217,陣立|正,乱戦,不利兵種による被ダメージを3％→6%低下
H218,陣立|正,恩顧,自身が受ける回復効果を4％→8％上昇
H301,臨戦|奇,手当の心得,兵力が最も低い自軍単体を戦法回復する時、1ターンの間、その日ダメージが6%低下
H302,臨戦|奇,達人大観,4ターン目に友軍単体の弱体化効果を2個浄化
H303,臨戦|奇,搦手の策,制御状態を付与する際、60%の確率で対象の被ダメージを8％上昇(2ターン持続)
H304,臨戦|奇,脱兎の如し,自身の被ダメージを3％低下(速度依存)
H305,臨戦|奇,鼓舞激励,戦法で友軍を回復する際、その与ダメージを4％上昇(1ターン持続)
H306,臨戦|奇,心頭滅却,3ターン目に自身の弱体化効果を1個浄化
H307,臨戦|奇,殿軍救護,友軍複数の与ダメージを4％上昇、自身の被ダメージを10%上昇
H311,臨戦|正,果敢,固有能動戦法の発動確率を1％→2%増加
H312,臨戦|正,機動,自身の速度を10→20増加
H313,臨戦|正,協同,ランダムな友軍単体の与ダメージを1.5%→3%上昇
H314,臨戦|正,地利,自身の回避を1.5%→3%増加
H315,臨戦|正,明鏡,1ターン目以降、自身が制御された際、友軍単体の兵力を回復(回復率25%→50%、2回のみ発動可能)
H316,臨戦|正,天時,自身の与ダメージと被ダメージを2%→4%低下
H317,臨戦|正,仁愛,自身が付与する回復効果を2.5%→5％上昇
H318,臨戦|正,内助,自身の被ダメージを1.5%→3%上昇し、大将の被ダメージを2.5%→5％低下
H319,臨戦|正,不惑,友軍単体が制御状態を付与された際、その被ダメージを4.5%→9%低下(1ターン持続。1ターンにつき最大1回発動)
H320,臨戦|正,兵家,固有突撃戦法の確率を1％→2%増加
H999,,-,-
